TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_WINNER_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,WIN_RATE_TEAM1,WIN_RATE_TEAM2,WINNER,WINNER_MODEL,AHP_RATIO_TEAM1,AHP_RATIO_TEAM2
CSK,1,RPS,0,CSK,1,453.47223500654155,421.19610187759355,119.79319178348769,119.85926110169329,0.9333801818181818,0.14288184210526314,CSK,1,16.900712,6.032793
MI,1,SRH,0,MI,1,356.9560745414751,367.7390335991483,248.920098,204.895098,0.7865808588235293,0.40963855421686746,SRH,0,15.160852,9.026536
KKR,1,DD,0,KKR,1,359.25487575,313.5599879367636,292.35,247.4427083,0.5523035555555555,0.4939759036144578,DD,0,12.745465,8.076035
CSK,1,KXIP,0,CSK,1,453.47223500654155,421.19610187759355,244.18203964061402,238.31124874689482,0.9399833707865167,0.411810731707317,CSK,1,16.900712,9.380131
RCB,1,RPS,0,RCB,1,301.6612235758937,256.0031395333711,119.79319178348769,119.85926110169329,0.4544938117647059,0.1392182051282051,RCB,1,9.982425,6.032793
RR,1,KKR,0,RR,1,293.57134609389055,239.37403818196,359.25487575,313.5599879367636,0.6206471604938271,0.5455681463414636,KKR,0,12.695051,12.745465
DD,1,SRH,0,DD,1,212.49255105000003,179.8520004288969,180.92583079061401,148.926567715614,0.3634215,0.30285125,SRH,0,8.076035,9.026536
RCB,1,KXIP,0,KXIP,0,301.6612235758937,256.0031395333711,244.18203964061402,238.31124874689482,0.4596557209302326,0.406849156626506,KXIP,0,9.982425,9.380131
MI,1,CSK,0,MI,1,356.9560745414751,367.7390335991483,453.47223500654155,421.19610187759355,0.7774345697674419,0.9464398222222222,MI,1,15.160852,16.900712
RPS,1,RR,0,RPS,1,119.79319178348769,119.85926110169329,293.57134609389055,239.37403818196,0.13573775,0.6130782926829269,RR,0,6.032793,12.695051
SRH,1,RCB,0,SRH,1,202.219700574024,166.45431887402398,301.6612235758937,256.0031395333711,0.34407021176470587,0.45437232183908055,RCB,0,9.026536,9.982425
DD,1,RR,0,DD,1,212.49255105000003,179.8520004288969,293.57134609389055,239.37403818196,0.3591459529411765,0.6194575301204819,RR,0,8.076035,12.695051
MI,1,KKR,0,MI,1,356.9560745414751,367.7390335991483,359.25487575,313.5599879367636,0.784182183908046,0.552815421686747,MI,1,15.160852,12.745465
CSK,1,SRH,0,SRH,0,453.47223500654155,421.19610187759355,248.920098,204.895098,0.9360393846153846,0.4186046511627907,CSK,1,16.900712,9.026536
KXIP,1,RR,0,RR,0,244.18203964061402,238.31124874689482,293.57134609389055,239.37403818196,0.41205585714285714,0.625684880952381,RR,0,9.380131,12.695051
KKR,1,RPS,0,KKR,1,359.25487575,313.5599879367636,119.79319178348769,119.85926110169329,0.5462342857142858,0.13242707317073169,KKR,1,12.745465,6.032793
RCB,1,DD,0,DD,0,301.6612235758937,256.0031395333711,292.35,247.4427083,0.4594182954545455,0.4883720930232558,RCB,1,9.982425,8.076035
RPS,1,MI,0,RPS,1,119.79319178348769,119.85926110169329,356.9560745414751,367.7390335991483,0.12927404761904762,0.7907764431818182,MI,0,6.032793,15.160852
SRH,1,KXIP,0,KXIP,0,202.219700574024,166.45431887402398,244.18203964061402,238.31124874689482,0.33616055172413795,0.4072081411764706,SRH,1,9.026536,9.380131
RCB,1,KKR,0,KKR,0,301.6612235758937,256.0031395333711,359.25487575,313.5599879367636,0.46435087640449446,0.5533032,KKR,0,9.982425,12.745465
CSK,1,RR,0,RR,0,453.47223500654155,421.19610187759355,293.57134609389055,239.37403818196,0.9423983478260869,0.6317657058823529,RR,0,16.900712,12.695051
DD,1,KXIP,0,KXIP,0,212.49255105000003,179.8520004288969,244.18203964061402,238.31124874689482,0.35088972413793107,0.4024731627906977,KXIP,0,8.076035,9.380131
SRH,1,MI,0,SRH,1,202.219700574024,166.45431887402398,356.9560745414751,367.7390335991483,0.34157222727272735,0.7972225168539325,MI,0,9.026536,15.160852
RPS,1,KKR,0,KKR,0,119.79319178348769,119.85926110169329,359.25487575,313.5599879367636,0.12626767441860462,0.5602077209302325,RPS,1,6.032793,12.745465
CSK,1,DD,0,CSK,1,453.47223500654155,421.19610187759355,292.35,247.4427083,0.9322650322580646,0.4772727272727273,CSK,1,16.900712,8.076035
MI,1,RR,0,RR,0,356.9560745414751,367.7390335991483,293.57134609389055,239.37403818196,0.8035253444444445,0.6377051162790698,MI,1,15.160852,12.695051
RCB,1,KXIP,0,KXIP,0,301.6612235758937,256.0031395333711,244.18203964061402,238.31124874689482,0.4591914222222222,0.4075506206896552,KXIP,0,9.982425,9.380131
SRH,1,RR,0,SRH,1,202.219700574024,166.45431887402398,293.57134609389055,239.37403818196,0.3377343370786517,0.630375172413793,SRH,1,9.026536,12.695051
KXIP,1,MI,0,MI,0,244.18203964061402,238.31124874689482,356.9560745414751,367.7390335991483,0.41251268181818185,0.8096896483516484,KXIP,1,9.380131,15.160852
RPS,1,DD,0,RPS,1,119.79319178348769,119.85926110169329,292.35,247.4427083,0.13573775,0.4719101123595506,RPS,1,6.032793,8.076035
RCB,1,CSK,0,CSK,0,301.6612235758937,256.0031395333711,453.47223500654155,421.19610187759355,0.45414536263736266,0.9385288510638298,RCB,1,9.982425,16.900712
KKR,1,SRH,0,KKR,1,359.25487575,313.5599879367636,248.920098,204.895098,0.553768551724138,0.4222222222222222,SRH,0,12.745465,9.026536
CSK,1,MI,0,CSK,1,453.47223500654155,421.19610187759355,356.9560745414751,367.7390335991483,0.9286496,0.8008886739130435,CSK,1,16.900712,15.160852
SRH,1,RR,0,SRH,1,202.219700574024,166.45431887402398,293.57134609389055,239.37403818196,0.3481662857142857,0.6232118181818181,RR,0,9.026536,12.695051
RR,1,MI,0,RR,1,293.57134609389055,239.37403818196,356.9560745414751,367.7390335991483,0.6290471348314606,0.7922769677419355,MI,0,12.695051,15.160852
MI,1,CSK,0,MI,1,356.9560745414751,367.7390335991483,453.47223500654155,421.19610187759355,0.7983642021276596,0.9348205833333334,MI,1,15.160852,16.900712
KKR,1,MI,0,KKR,1,399.66554420530326,363.7560169242637,538.7319056988158,454.17829814960527,0.5474757272727273,0.8043232842105262,KKR,1,12.745465,15.160852
DD,1,RCB,0,RCB,0,194.2738851323634,173.771720838183,337.66765506281837,310.4879130566968,0.33919340000000003,0.4589744130434783,RCB,0,8.076035,9.982425
CSK,1,KXIP,0,CSK,1,568.0494992919545,475.19940690000004,216.0023997663612,205.66411342814038,0.9251832577319586,0.41736323595505614,KXIP,0,16.900712,9.380131
SRH,1,RR,0,RR,0,312.24713060624515,229.9193438270796,478.2032118791325,326.260974745041,0.34438186956521744,0.6220577222222221,RR,0,9.026536,12.695051
