n_estimators,max_features,min_samples_leaf,max_depth,Ambiguity,Real Test Accuracy,Train Accuracy
800,sqrt,1,5,2.987000000000001,59.332800000000006,72.3094
500,sqrt,5,5,3.040399999999999,59.33319999999999,71.37499999999999
800,log2,3,6,2.6929999999999996,59.33319999999999,75.57579999999997
800,sqrt,5,6,2.747,59.35940000000001,75.0328
500,sqrt,5,4,2.7203999999999997,59.35979999999999,68.42179999999999
600,log2,3,4,2.9330000000000007,59.36000000000001,68.46720000000002
700,sqrt,3,4,2.5864,59.36020000000001,68.5126
800,log2,1,4,2.6933999999999996,59.36020000000001,68.7416
800,sqrt,5,4,2.6126,59.386399999999995,68.4286
600,sqrt,5,4,2.6129999999999995,59.38700000000001,68.39260000000002
800,log2,3,5,2.5866000000000002,59.38700000000001,71.69979999999998
700,log2,5,4,3.0402000000000005,59.41320000000002,68.43539999999999
600,sqrt,3,6,2.8794,59.4134,75.903
800,log2,5,5,2.8542,59.4134,71.30160000000002
800,log2,1,5,2.6662,59.4136,72.28460000000001
800,log2,5,6,2.8531999999999997,59.4398,74.7834
600,sqrt,1,4,2.6938000000000013,59.44,68.705
600,sqrt,5,5,2.7729999999999997,59.46599999999999,71.3408
600,log2,5,6,2.7465999999999995,59.466199999999986,74.68480000000004
700,sqrt,5,5,2.48,59.4926,71.37319999999998
700,log2,5,6,2.5597999999999996,59.52,74.74520000000001
800,log2,5,4,2.7201999999999997,59.52000000000001,68.416
800,sqrt,3,5,2.5866,59.546400000000006,71.792
800,sqrt,3,4,2.3993999999999995,59.546600000000005,68.4878
600,sqrt,3,5,2.8528,59.573400000000014,71.74719999999999
700,sqrt,3,5,2.6128000000000005,59.599399999999996,71.8066
700,sqrt,1,4,2.4795999999999996,59.59959999999999,68.6984
800,sqrt,1,4,2.2127999999999997,59.73340000000001,68.7
800,sqrt,5,5,2.2659999999999996,59.7596,71.368
