learning_rate,max_depth,min_child_weight,gamma,colsample_bytree,Ambiguity,Real Test Accuracy,Train Accuracy
0.1,6,1,0.0,0.3,6.717818181818183,51.618909090909106,100.0
0.1,6,1,0.0,0.4,7.118181818181817,51.700363636363626,100.0
0.1,6,1,0.0,0.7,7.035454545454546,51.970909090909075,100.0
0.1,6,1,0.1,0.3,7.629090909090911,51.56618181818182,100.0
0.1,6,1,0.1,0.4,7.305818181818184,51.72781818181818,100.0
0.1,6,1,0.1,0.7,8.43109090909091,51.18963636363635,100.0
0.1,6,1,0.2,0.3,7.843454545454548,51.244181818181815,100.0
0.1,6,1,0.2,0.4,8.034,51.135090909090906,100.0
0.1,6,1,0.2,0.7,9.020000000000003,51.16454545454545,100.0
0.1,6,3,0.0,0.3,7.817090909090909,51.26945454545455,100.0
0.1,6,3,0.0,0.4,7.707454545454547,50.87090909090909,100.0
0.1,6,3,0.0,0.7,7.198363636363638,51.512909090909076,100.0
0.1,6,3,0.1,0.3,7.11927272727273,51.48600000000001,100.0
0.1,6,3,0.1,0.4,7.362363636363637,51.376727272727244,100.0
0.1,6,3,0.1,0.7,7.38527272727273,51.3250909090909,100.0
0.1,6,3,0.2,0.3,7.602727272727275,51.002545454545455,100.0
0.1,6,3,0.2,0.4,8.028909090909092,51.16454545454544,100.0
0.1,6,3,0.2,0.7,8.028909090909092,51.00527272727272,100.0
0.15,4,1,0.0,0.3,7.734909090909092,50.521272727272724,100.0
0.15,4,1,0.0,0.4,7.950000000000002,50.978909090909085,100.0
0.15,4,1,0.0,0.7,7.52109090909091,50.97854545454544,100.0
0.15,4,1,0.1,0.3,7.922545454545456,50.76163636363637,100.0
0.15,4,1,0.1,0.4,7.76327272727273,51.296909090909075,100.0
0.15,4,1,0.1,0.7,8.247818181818182,50.600363636363646,100.0
0.15,4,1,0.2,0.3,7.922909090909092,51.08527272727272,100.0
0.15,4,1,0.2,0.4,8.913272727272728,50.28218181818182,100.0
0.15,4,1,0.2,0.7,9.024,49.90509090909089,100.0
0.15,4,3,0.0,0.3,7.709454545454548,50.71018181818183,100.0
0.15,4,3,0.0,0.4,8.00418181818182,50.736,100.0
0.15,4,3,0.0,0.7,8.056181818181821,50.039454545454525,100.0
0.15,4,3,0.1,0.3,8.297636363636364,50.282181818181826,100.0
0.15,4,3,0.1,0.4,7.416363636363637,51.00345454545453,100.0
0.15,4,3,0.1,0.7,7.524363636363636,50.467818181818174,100.0
0.15,4,3,0.2,0.3,7.762727272727275,50.84418181818181,99.99872727272728
0.15,4,3,0.2,0.4,7.872,50.92236363636364,99.99872727272728
0.15,4,3,0.2,0.7,8.21909090909091,50.33254545454544,99.99618181818184
0.15,5,1,0.0,0.3,6.959636363636367,51.43254545454545,100.0
0.15,5,1,0.0,0.4,8.02909090909091,51.11218181818181,100.0
0.15,5,1,0.0,0.7,7.6294545454545455,51.565090909090905,100.0
0.15,5,1,0.1,0.3,7.843272727272729,51.37818181818182,100.0
0.15,5,1,0.1,0.4,8.272727272727272,50.895090909090925,100.0
0.15,5,1,0.1,0.7,9.448363636363638,50.54963636363635,100.0
0.15,5,1,0.2,0.3,8.758000000000001,50.545272727272724,100.0
0.15,5,1,0.2,0.4,9.156363636363638,50.469999999999985,100.0
0.15,5,1,0.2,0.7,9.502000000000004,50.54872727272727,100.0
0.15,5,3,0.0,0.3,6.800363636363636,51.082,100.0
0.15,5,3,0.0,0.4,8.217818181818185,50.81545454545456,100.0
0.15,5,3,0.0,0.7,7.629454545454546,50.81636363636363,100.0
0.15,5,3,0.1,0.3,7.921454545454544,51.032181818181826,100.0
0.15,5,3,0.1,0.4,7.630909090909091,51.10799999999998,100.0
0.15,5,3,0.1,0.7,7.816000000000003,51.191272727272725,100.0
0.15,5,3,0.2,0.3,8.353272727272728,50.653272727272736,100.0
0.15,5,3,0.2,0.4,8.701272727272729,50.41272727272727,100.0
0.15,5,3,0.2,0.7,8.512727272727272,50.81509090909089,100.0
0.15,6,1,0.0,0.3,7.413636363636366,51.378181818181794,100.0
0.15,6,1,0.0,0.4,7.946727272727274,51.14000000000001,100.0
0.15,6,1,0.0,0.7,8.054181818181819,51.434,100.0
0.15,6,1,0.1,0.3,8.187999999999999,51.62072727272727,100.0
0.15,6,1,0.1,0.4,9.046909090909093,50.73363636363637,100.0
0.15,6,1,0.1,0.7,8.725636363636363,51.27236363636363,100.0
