,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
589,596,2016,Pune,RPS,RPS,1,KKR,0,KKR,,,388.7692308,371.89010989999997,field,normal,KKR,0,0,0,0,1,0.02334630350194553,0.11673151750972766
590,597,2016,Chandigarh,KXIP,MI,1,KXIP,0,KXIP,309.625,337.4324405,410.0,325.0255102,field,normal,MI,25,0,1,0,0,0.14202334630350194,0.11478599221789886
591,598,2016,Hyderabad,SRH,SRH,1,RPS,0,RPS,300.11071430000004,269.29744900000003,,,field,normal,RPS,34,0,0,0,1,0.10116731517509728,0.02334630350194553
592,599,2016,Delhi,DD,GL,1,DD,0,DD,,,247.3797619,273.0392857,field,normal,GL,1,0,1,0,0,0.0,0.0933852140077821
593,600,2016,Mumbai,MI,KKR,1,MI,0,MI,388.7692308,371.89010989999997,309.625,337.4324405,field,normal,MI,0,0,0,0,0,0.11673151750972766,0.14202334630350194
594,601,2016,Pune,RPS,RPS,1,GL,0,GL,,,,,field,normal,GL,0,0,0,0,1,0.02334630350194553,0.0
595,602,2016,Delhi,DD,DD,1,KKR,0,KKR,247.3797619,273.0392857,388.7692308,371.89010989999997,field,normal,DD,27,0,1,0,1,0.0933852140077821,0.11673151750972766
596,603,2016,Hyderabad,SRH,SRH,1,RCB,0,RCB,300.11071430000004,269.29744900000003,249.259375,261.43928569999997,field,normal,SRH,15,0,1,0,1,0.10116731517509728,0.11478599221789886
597,604,2016,Rajkot,GL,KXIP,1,GL,0,GL,410.0,325.0255102,,,field,normal,KXIP,23,0,1,0,0,0.11478599221789886,0.0
598,605,2016,Pune,RPS,RPS,1,MI,0,MI,,,309.625,337.4324405,field,normal,MI,0,0,0,0,1,0.02334630350194553,0.14202334630350194
