ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL
92,2008,Hyderabad,SRH,KKR,1,SRH,0,KKR,bat,normal,KKR,23,1,1,1,0
93,2008,Jaipur,RR,DD,1,RR,0,RR,field,normal,RR,0,0,0,0,0
94,2008,Chandigarh,KXIP,RCB,1,KXIP,0,RCB,bat,normal,KXIP,0,1,0,1,0
95,2008,Kolkata,KKR,KKR,1,DD,0,KKR,bat,normal,KKR,23,1,1,1,1
96,2008,Mumbai,MI,CSK,1,MI,0,MI,field,normal,MI,0,0,0,0,0
97,2008,Chandigarh,KXIP,KXIP,1,RR,0,RR,field,normal,KXIP,41,0,1,0,1
98,2008,Delhi,DD,DD,1,SRH,0,SRH,field,normal,DD,12,0,1,0,1
99,2008,Mumbai,MI,KKR,1,MI,0,MI,field,normal,MI,0,0,0,0,0
100,2008,Delhi,DD,DD,1,KXIP,0,DD,bat,normal,KXIP,6,1,0,1,1
101,2008,Jaipur,RR,RR,1,RCB,0,RCB,field,normal,RR,65,0,1,0,1
102,2008,Hyderabad,SRH,MI,1,SRH,0,SRH,field,normal,MI,25,0,1,0,0
103,2008,Kolkata,KKR,KKR,1,CSK,0,KKR,bat,normal,CSK,3,1,0,1,1
104,2008,Bangalore,RCB,RCB,1,DD,0,DD,field,normal,DD,0,0,0,0,1
105,2008,Kolkata,KKR,KKR,1,RR,0,RR,field,normal,RR,0,0,0,0,1
106,2008,Mumbai,MI,KXIP,1,MI,0,MI,field,normal,KXIP,1,0,1,0,0
107,2008,Chennai,CSK,RCB,1,CSK,0,RCB,bat,normal,RCB,14,1,1,1,0
108,2008,Chandigarh,KXIP,SRH,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,0
109,2008,Delhi,DD,MI,1,DD,0,DD,field,normal,DD,0,0,0,0,0
110,2008,Chennai,CSK,RR,1,CSK,0,RR,bat,normal,RR,10,1,1,1,0
111,2008,Bangalore,RCB,RCB,1,SRH,0,SRH,field,normal,RCB,3,0,1,0,1
112,2008,Kolkata,KKR,KXIP,1,KKR,0,KXIP,bat,normal,KKR,0,1,0,1,0
113,2008,Jaipur,RR,MI,1,RR,0,RR,field,normal,RR,0,0,0,0,0
114,2008,Hyderabad,SRH,SRH,1,CSK,0,SRH,bat,normal,CSK,0,1,0,1,1
115,2008,Mumbai,MI,RR,1,DD,0,DD,field,normal,RR,105,0,1,0,2
116,2008,Mumbai,MI,KXIP,1,CSK,0,KXIP,bat,normal,CSK,0,1,0,1,2
117,2008,Mumbai,MI,CSK,1,RR,0,RR,field,normal,RR,0,0,0,0,2
118,2009,Cape Town,Cape Town,MI,1,CSK,0,CSK,field,normal,MI,19,0,1,0,2
119,2009,Cape Town,Cape Town,RCB,1,RR,0,RCB,bat,normal,RCB,75,1,1,1,2
120,2009,Cape Town,Cape Town,KXIP,1,DD,0,DD,field,normal,DD,0,0,0,0,2
121,2009,Cape Town,Cape Town,KKR,1,SRH,0,KKR,bat,normal,SRH,0,1,0,1,2
122,2009,Port Elizabeth,Port Elizabeth,CSK,1,RCB,0,CSK,bat,normal,CSK,92,1,1,1,2
123,2009,Durban,Durban,KXIP,1,KKR,0,KKR,field,normal,KKR,11,0,0,0,2
124,2009,Cape Town,Cape Town,SRH,1,RCB,0,SRH,bat,normal,SRH,24,1,1,1,2
125,2009,Durban,Durban,DD,1,CSK,0,DD,bat,normal,DD,9,1,1,1,2
126,2009,Cape Town,Cape Town,RR,1,KKR,0,KKR,field,tie,RR,0,0,1,0,2
127,2009,Durban,Durban,RCB,1,KXIP,0,RCB,bat,normal,KXIP,0,1,0,1,2
128,2009,Durban,Durban,SRH,1,MI,0,SRH,bat,normal,SRH,12,1,1,1,2
129,2009,Port Elizabeth,Port Elizabeth,RCB,1,DD,0,RCB,bat,normal,DD,0,1,0,1,2
130,2009,Cape Town,Cape Town,KXIP,1,RR,0,KXIP,bat,normal,KXIP,27,1,1,1,2
131,2009,Durban,Durban,CSK,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
132,2009,Port Elizabeth,Port Elizabeth,MI,1,KKR,0,MI,bat,normal,MI,92,1,1,1,2
133,2009,Centurion,Centurion,DD,1,RR,0,DD,bat,normal,RR,0,1,0,1,2
134,2009,Durban,Durban,KKR,1,RCB,0,KKR,bat,normal,RCB,0,1,0,1,2
135,2009,Durban,Durban,KXIP,1,MI,0,KXIP,bat,normal,KXIP,3,1,1,1,2
136,2009,Centurion,Centurion,SRH,1,DD,0,DD,field,normal,DD,0,0,0,0,2
137,2009,Centurion,Centurion,CSK,1,RR,0,RR,field,normal,CSK,38,0,1,0,2
138,2009,East London,East London,MI,1,KKR,0,MI,bat,normal,MI,9,1,1,1,2
139,2009,Durban,Durban,RCB,1,KXIP,0,RCB,bat,normal,RCB,8,1,1,1,2
140,2009,Port Elizabeth,Port Elizabeth,SRH,1,RR,0,SRH,bat,normal,RR,0,1,0,1,2
141,2009,Johannesburg,Johannesburg,CSK,1,DD,0,DD,field,normal,CSK,18,0,1,0,2
142,2009,Port Elizabeth,Port Elizabeth,KKR,1,KXIP,0,KKR,bat,normal,KXIP,0,1,0,1,2
143,2009,Johannesburg,Johannesburg,MI,1,RCB,0,MI,bat,normal,RCB,0,1,0,1,2
144,2009,East London,East London,CSK,1,SRH,0,CSK,bat,normal,CSK,78,1,1,1,2
145,2009,Durban,Durban,RR,1,KXIP,0,KXIP,field,normal,RR,78,0,1,0,2
146,2009,Durban,Durban,KKR,1,DD,0,KKR,bat,normal,DD,0,1,0,1,2
147,2009,Centurion,Centurion,SRH,1,MI,0,SRH,bat,normal,SRH,19,1,1,1,2
148,2009,Centurion,Centurion,RCB,1,RR,0,RR,field,normal,RR,0,0,0,0,2
149,2009,Centurion,Centurion,CSK,1,KXIP,0,CSK,bat,normal,CSK,12,1,1,1,2
150,2009,East London,East London,MI,1,DD,0,MI,bat,normal,DD,0,1,0,1,2
151,2009,Kimberley,Kimberley,SRH,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,2
152,2009,Kimberley,Kimberley,RR,1,CSK,0,RR,bat,normal,CSK,0,1,0,1,2
153,2009,Port Elizabeth,Port Elizabeth,MI,1,RCB,0,MI,bat,normal,MI,16,1,1,1,2
154,2009,Johannesburg,Johannesburg,KKR,1,DD,0,DD,field,normal,DD,0,0,0,0,2
155,2009,Kimberley,Kimberley,SRH,1,RR,0,SRH,bat,normal,SRH,53,1,1,1,2
