,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TEAM1_RunsperOver,TEAM1_RunsperWicket,TEAM1_BattingIndex,TEAM1_RunsconcededperOver,TEAM1_RunsconcededperWicket,TEAM1_BowlingIndex,TEAM1_BattingWicketRate,TEAM1_BowlingWicketRate,TEAM1_RunsperWicket_6Batsmen,TEAM1_RunsperWicket_4Batsmen,TEAM1_RunsperWicket_2Batsmen,TEAM1_Runsperball_6Batsmen,TEAM1_Runsperball_4Batsmen,TEAM1_Runsperball_2Batsmen,TEAM1_RunsconcedeperWicket_5Bowler,TEAM1_RunsconcedeperWicket_3Bowler,TEAM1_RunsconcedeperOver_5Bowler,TEAM1_RunsconcedeperOver_3Bowler,TEAM1_BallsbowledperWicket_5Bowler,TEAM1_BallsbowledperWicket_3Bowler,TEAM2_Team_Strength,TEAM2_Cumulative_Team_Strength,TEAM2_RunsperOver,TEAM2_RunsperWicket,TEAM2_BattingIndex,TEAM2_RunsconcededperOver,TEAM2_RunsconcededperWicket,TEAM2_BowlingIndex,TEAM2_BattingWicketRate,TEAM1_Team_Strength,TEAM2_BowlingWicketRate,TEAM2_RunsperWicket_6Batsmen,TEAM2_RunsperWicket_4Batsmen,TEAM2_RunsperWicket_2Batsmen,TEAM2_Runsperball_6Batsmen,TEAM2_Runsperball_4Batsmen,TEAM2_Runsperball_2Batsmen,TEAM2_RunsconcedeperWicket_5Bowler,TEAM2_RunsconcedeperWicket_3Bowler,TEAM2_RunsconcedeperOver_5Bowler,TEAM2_RunsconcedeperOver_3Bowler,TEAM2_BallsbowledperWicket_5Bowler,TEAM2_BallsbowledperWicket_3Bowler,TEAM1_Cumulative_Team_Strength,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
10,10,70,2008,Bangalore,RCB,RR,1,RCB,0,,,,,,,,,,,,,,,,,,,,,32.413063010984395,32.41306301098438,,,,,,,,29.72823347756345,,,,,,,,,,,,,,29.72823347756345,RR,,,,,field,normal,RR,0,1,1,0,0,0.6666666666666666,0.5
11,11,71,2008,Chennai,CSK,CSK,1,KKR,0,,,,,,,,,,,,,,,,,,,,,33.341084153202296,33.341084153202296,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,KKR,,,,,bat,normal,CSK,0,0,1,1,1,1.0,1.0
12,12,72,2008,Mumbai,MI,MI,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,35.054257839606784,,,,,,,,,,,,,,35.054257839606784,SRH,,,,,field,normal,SRH,0,0,0,0,1,0.0,0.0
13,13,73,2008,Chandigarh,KXIP,DD,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,32.647935190921004,,,,,,,,,,,,,,32.647935190921004,DD,,,,,bat,normal,KXIP,0,1,0,1,0,1.0,0.3333333333333333
14,14,74,2008,Bangalore,RCB,CSK,1,RCB,0,,,,,,,,,,,,,,,,,,,,,32.413063010984395,32.41306301098438,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,CSK,,,,,bat,normal,CSK,13,1,1,1,0,1.0,0.3333333333333333
15,15,75,2008,Kolkata,KKR,KKR,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,KKR,,,,,bat,normal,MI,0,1,0,1,1,0.6666666666666666,0.0
16,16,76,2008,Delhi,DD,DD,1,RCB,0,,,,,,,,,,,,,,,,,,,,,32.413063010984395,32.41306301098438,,,,,,,,32.647935190921004,,,,,,,,,,,,,,32.647935190921004,RCB,,,,,field,normal,DD,10,0,1,0,1,0.6666666666666666,0.25
17,17,77,2008,Hyderabad,SRH,SRH,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,33.358980869659874,,,,,,,,,,,,,,33.358980869659874,KXIP,,,,,field,normal,KXIP,0,0,0,0,1,0.25,0.5
18,18,78,2008,Jaipur,RR,RR,1,KKR,0,,,,,,,,,,,,,,,,,,,,,33.341084153202296,33.341084153202296,,,,,,,,29.72823347756345,,,,,,,,,,,,,,29.72823347756345,RR,,,,,bat,normal,RR,45,1,1,1,1,0.75,0.5
19,19,79,2008,Chennai,CSK,CSK,1,DD,0,,,,,,,,,,,,,,,,,,,,,32.647935190921004,32.647935190921004,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,CSK,,,,,bat,normal,DD,0,1,0,1,1,1.0,0.75
20,20,80,2008,Hyderabad,SRH,SRH,1,RCB,0,,,,,,,,,,,,,,,,,,,,,32.413063010984395,32.41306301098438,,,,,,,,33.358980869659874,,,,,,,,,,,,,,33.358980869659874,SRH,,,,,bat,normal,RCB,0,1,0,1,1,0.2,0.2
21,21,81,2008,Chandigarh,KXIP,KXIP,1,KKR,0,,,,,,,,,,,,,,,,,,,,,33.341084153202296,33.341084153202296,,,,,,,,31.887452444811448,,,,,,,,,,,,,,31.887452444811444,KXIP,,,,,bat,normal,KXIP,9,1,1,1,1,0.6,0.4
22,22,82,2008,Mumbai,MI,MI,1,DD,0,,,,,,,,,,,,,,,,,,,,,32.647935190921004,32.647935190921004,,,,,,,,35.054257839606784,,,,,,,,,,,,,,35.054257839606784,DD,,,,,field,normal,MI,29,0,1,0,1,0.2,0.8
23,23,83,2008,Jaipur,RR,CSK,1,RR,0,,,,,,,,,,,,,,,,,,,,,29.72823347756345,29.72823347756345,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,CSK,,,,,bat,normal,RR,0,1,0,1,0,0.8,0.8
24,24,84,2008,Bangalore,RCB,RCB,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,32.413063010984395,,,,,,,,,,,,,,32.41306301098438,KXIP,,,,,field,normal,KXIP,0,0,0,0,1,0.3333333333333333,0.6666666666666666
25,25,85,2008,Chennai,CSK,CSK,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,SRH,,,,,field,normal,SRH,0,0,0,0,1,0.6666666666666666,0.16666666666666666
26,26,86,2008,Mumbai,MI,RR,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,29.72823347756345,,,,,,,,,,,,,,29.72823347756345,MI,,,,,field,normal,MI,0,0,0,0,0,0.8333333333333334,0.3333333333333333
27,27,87,2008,Delhi,DD,DD,1,CSK,0,,,,,,,,,,,,,,,,,,,,,28.477333119216272,28.477333119216272,,,,,,,,32.647935190921004,,,,,,,,,,,,,,32.647935190921004,CSK,,,,,field,normal,CSK,0,0,0,0,1,0.6666666666666666,0.5714285714285714
28,28,88,2008,Kolkata,KKR,KKR,1,RCB,0,,,,,,,,,,,,,,,,,,,,,32.413063010984395,32.41306301098438,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,KKR,,,,,bat,normal,KKR,5,1,1,1,1,0.3333333333333333,0.2857142857142857
29,29,89,2008,Jaipur,RR,SRH,1,RR,0,,,,,,,,,,,,,,,,,,,,,29.72823347756345,29.72823347756345,,,,,,,,33.358980869659874,,,,,,,,,,,,,,33.358980869659874,RR,,,,,field,normal,RR,0,0,0,0,0,0.2857142857142857,0.7142857142857143
30,30,90,2008,Bangalore,RCB,RCB,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,32.413063010984395,,,,,,,,,,,,,,32.41306301098438,MI,,,,,field,normal,MI,0,0,0,0,1,0.25,0.42857142857142855
31,31,91,2008,Chennai,CSK,CSK,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,KXIP,,,,,field,normal,CSK,18,0,1,0,1,0.625,0.7142857142857143
32,32,92,2008,Hyderabad,SRH,KKR,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,KKR,,,,,bat,normal,KKR,23,1,1,1,0,0.42857142857142855,0.25
33,33,93,2008,Jaipur,RR,DD,1,RR,0,,,,,,,,,,,,,,,,,,,,,29.72823347756345,29.72823347756345,,,,,,,,32.647935190921004,,,,,,,,,,,,,,32.647935190921004,RR,,,,,field,normal,RR,0,0,0,0,0,0.5714285714285714,0.75
34,34,94,2008,Chandigarh,KXIP,RCB,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,32.413063010984395,,,,,,,,,,,,,,32.41306301098438,RCB,,,,,bat,normal,KXIP,0,1,0,1,0,0.2222222222222222,0.625
35,35,95,2008,Kolkata,KKR,KKR,1,DD,0,,,,,,,,,,,,,,,,,,,,,32.647935190921004,32.647935190921004,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,KKR,,,,,bat,normal,KKR,23,1,1,1,1,0.5,0.5
36,36,96,2008,Mumbai,MI,CSK,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,MI,,,,,field,normal,MI,0,0,0,0,0,0.6666666666666666,0.5
37,37,97,2008,Chandigarh,KXIP,KXIP,1,RR,0,,,,,,,,,,,,,,,,,,,,,29.72823347756345,29.72823347756345,,,,,,,,31.887452444811448,,,,,,,,,,,,,,31.887452444811444,RR,,,,,field,normal,KXIP,41,0,1,0,1,0.6666666666666666,0.7777777777777778
38,38,98,2008,Delhi,DD,DD,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,32.647935190921004,,,,,,,,,,,,,,32.647935190921004,SRH,,,,,field,normal,DD,12,0,1,0,1,0.4444444444444444,0.2222222222222222
39,39,99,2008,Mumbai,MI,KKR,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,MI,,,,,field,normal,MI,0,0,0,0,0,0.5555555555555556,0.5555555555555556
40,40,100,2008,Delhi,DD,DD,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,32.647935190921004,,,,,,,,,,,,,,32.647935190921004,DD,,,,,bat,normal,KXIP,6,1,0,1,1,0.5,0.7
41,41,101,2008,Jaipur,RR,RR,1,RCB,0,,,,,,,,,,,,,,,,,,,,,32.413063010984395,32.41306301098438,,,,,,,,29.72823347756345,,,,,,,,,,,,,,29.72823347756345,RCB,,,,,field,normal,RR,65,0,1,0,1,0.7,0.2
42,42,102,2008,Hyderabad,SRH,MI,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,35.054257839606784,,,,,,,,,,,,,,35.054257839606784,SRH,,,,,field,normal,MI,25,0,1,0,0,0.6,0.2
43,43,103,2008,Kolkata,KKR,KKR,1,CSK,0,,,,,,,,,,,,,,,,,,,,,28.477333119216272,28.477333119216272,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,KKR,,,,,bat,normal,CSK,3,1,0,1,1,0.5,0.6
44,44,104,2008,Bangalore,RCB,RCB,1,DD,0,,,,,,,,,,,,,,,,,,,,,32.647935190921004,32.647935190921004,,,,,,,,32.413063010984395,,,,,,,,,,,,,,32.41306301098438,DD,,,,,field,normal,DD,0,0,0,0,1,0.18181818181818185,0.4545454545454545
45,45,105,2008,Kolkata,KKR,KKR,1,RR,0,,,,,,,,,,,,,,,,,,,,,29.72823347756345,29.72823347756345,,,,,,,,33.341084153202296,,,,,,,,,,,,,,33.341084153202296,RR,,,,,field,normal,RR,0,0,0,0,1,0.4545454545454545,0.7272727272727273
46,46,106,2008,Mumbai,MI,KXIP,1,MI,0,,,,,,,,,,,,,,,,,,,,,35.054257839606784,35.054257839606784,,,,,,,,31.887452444811448,,,,,,,,,,,,,,31.887452444811444,MI,,,,,field,normal,KXIP,1,0,1,0,0,0.7272727272727273,0.6363636363636364
47,47,107,2008,Chennai,CSK,RCB,1,CSK,0,,,,,,,,,,,,,,,,,,,,,28.477333119216272,28.477333119216272,,,,,,,,32.413063010984395,,,,,,,,,,,,,,32.41306301098438,RCB,,,,,bat,normal,RCB,14,1,1,1,0,0.16666666666666666,0.6363636363636364
48,48,108,2008,Chandigarh,KXIP,SRH,1,KXIP,0,,,,,,,,,,,,,,,,,,,,,31.887452444811448,31.887452444811444,,,,,,,,33.358980869659874,,,,,,,,,,,,,,33.358980869659874,KXIP,,,,,field,normal,KXIP,0,0,0,0,0,0.18181818181818185,0.75
49,49,109,2008,Delhi,DD,MI,1,DD,0,,,,,,,,,,,,,,,,,,,,,32.647935190921004,32.647935190921004,,,,,,,,35.054257839606784,,,,,,,,,,,,,,35.054257839606784,DD,,,,,field,normal,DD,0,0,0,0,0,0.5833333333333334,0.5
50,50,110,2008,Chennai,CSK,RR,1,CSK,0,,,,,,,,,,,,,,,,,,,,,28.477333119216272,28.477333119216272,,,,,,,,29.72823347756345,,,,,,,,,,,,,,29.72823347756345,RR,,,,,bat,normal,RR,10,1,1,1,0,0.75,0.5833333333333334
51,51,111,2008,Bangalore,RCB,RCB,1,SRH,0,,,,,,,,,,,,,,,,,,,,,33.358980869659874,33.358980869659874,,,,,,,,32.413063010984395,,,,,,,,,,,,,,32.41306301098438,SRH,,,,,field,normal,RCB,3,0,1,0,1,0.2307692307692308,0.16666666666666666
52,52,112,2008,Kolkata,KKR,KXIP,1,KKR,0,,,,,,,,,,,,,,,,,,,,,33.341084153202296,33.341084153202296,,,,,,,,31.887452444811448,,,,,,,,,,,,,,31.887452444811444,KXIP,,,,,bat,normal,KKR,0,1,0,1,0,0.7692307692307693,0.4166666666666667
53,53,113,2008,Jaipur,RR,MI,1,RR,0,,,,,,,,,,,,,,,,,,,,,29.72823347756345,29.72823347756345,,,,,,,,35.054257839606784,,,,,,,,,,,,,,35.054257839606784,RR,,,,,field,normal,RR,0,0,0,0,0,0.5384615384615384,0.7692307692307693
54,54,114,2008,Hyderabad,SRH,SRH,1,CSK,0,,,,,,,,,,,,,,,,,,,,,28.477333119216272,28.477333119216272,,,,,,,,33.358980869659874,,,,,,,,,,,,,,33.358980869659874,SRH,,,,,bat,normal,CSK,0,1,0,1,1,0.15384615384615385,0.5384615384615384
55,55,115,2008,Mumbai,MI,RR,1,DD,0,,,,,,,,,,,,,,,,,,,,,32.647935190921004,32.647935190921004,,,,,,,,29.72823347756345,,,,,,,,,,,,,,29.72823347756345,DD,,,,,field,normal,RR,105,0,1,0,2,0.7857142857142857,0.5384615384615384
56,56,116,2008,Mumbai,MI,KXIP,1,CSK,0,,,,,,,,,,,,,,,,,,,,,28.477333119216272,28.477333119216272,,,,,,,,31.887452444811448,,,,,,,,,,,,,,31.887452444811444,KXIP,,,,,bat,normal,CSK,0,1,0,1,2,0.7142857142857143,0.5714285714285714
57,57,117,2008,Mumbai,MI,CSK,1,RR,0,,,,,,,,,,,,,,,,,,,,,29.72823347756345,29.72823347756345,,,,,,,,28.477333119216272,,,,,,,,,,,,,,28.477333119216272,RR,,,,,field,normal,RR,0,0,0,0,2,0.6,0.8
58,58,118,2009,Cape Town,Cape Town,MI,1,CSK,0,7.542743538767395,24.0126582278481,181.12132269673097,7.873076923076923,24.662650602409638,194.1709453197405,0.052352551358515576,0.0532051282051282,34.30769230769231,35.16129032258065,40.66666666666666,1.3966597077244258,1.4361001317523057,1.413907284768212,26.3,23.57142857142857,8.327176781002636,8.389830508474576,113.7,101.14285714285714,39.59192231814285,39.59192231814285,7.874583795782463,29.936708860759488,235.73912249399402,8.19792236194642,30.108433734939762,246.8266021988446,0.04384017758046615,37.96307161439103,0.04537998906506288,39.26315789473684,40.80645161290322,43.57142857142857,1.4182509505703422,1.407119021134594,1.4319248826291082,27.671875,27.68888888888889,7.959550561797752,7.506024096385543,125.15625,132.8,37.96307161439103,CSK,336.7994228,336.7994228,260.9975198,260.9975198,field,normal,MI,19,0,1,0,2,0.5,0.5625
59,59,119,2009,Cape Town,Cape Town,RCB,1,RR,0,6.97196261682243,17.59433962264151,122.66707811673426,8.191204588910134,38.25,313.3135755258126,0.0660436137071651,0.03569152326322498,27.872340425531913,32.27272727272727,36.07692307692308,1.248808388941849,1.2754491017964071,1.3027777777777778,40.20588235294117,44.59090909090909,8.056974459724952,8.542815674891148,179.6470588235294,187.9090909090909,37.740388461096146,37.740388461096146,8.07103218645949,27.54545454545455,222.32025022702047,7.7428884026258205,24.57291666666667,190.26535147702407,0.048834628190898996,30.75894913783333,0.0525164113785558,33.55813953488372,37.941176470588225,38.08695652173913,1.3982558139534884,1.4036996735582157,1.447933884297521,27.017857142857146,26.58695652173913,8.012356575463372,7.890322580645162,121.39285714285714,121.30434782608695,30.75894913783333,RCB,281.7181509,281.7181509,251.3936012,251.3936012,bat,normal,RCB,75,1,1,1,2,0.2857142857142857,0.8125
60,60,120,2009,Cape Town,Cape Town,KXIP,1,DD,0,8.337292161520189,29.620253164556967,246.9527045311044,8.356890459363957,28.49397590361446,238.12103537826218,0.04691211401425178,0.04888103651354535,32.457142857142856,36.125,124.0,1.5351351351351352,1.5763636363636364,1.4761904761904765,25.95454545454545,26.93333333333333,8.04225352112676,7.9824368825466525,116.1818181818182,121.46666666666668,30.716094071,30.716094071,7.989347536617844,25.97402597402597,207.5155204316323,8.1525,26.51219512195122,216.1406707317073,0.051264980026631164,41.34540885476191,0.05125,30.17021276595745,32.7027027027027,37.6,1.494204425711275,1.5414012738853504,1.5692821368948249,25.277777777777782,22.48837209302325,8.173652694610777,7.991735537190082,111.33333333333331,101.30232558139537,41.34540885476191,DD,233.5653872,233.5653872,305.1106061000001,305.1106061000001,field,normal,DD,0,0,0,0,2,0.6666666666666666,0.5
61,61,121,2009,Cape Town,Cape Town,KKR,1,SRH,0,7.199200532978015,20.46590909090909,147.33818363515232,7.7671875,27.16393442622951,210.98737192622954,0.058627581612258485,0.04765625,28.0,32.74193548387097,43.375,1.3037037037037038,1.3063063063063065,1.6445497630331751,38.16666666666666,40.4,7.905638665132336,7.634645669291339,173.8,190.5,31.380784571625,31.380784571625,7.80700676090965,22.76344086021505,177.71433669726588,8.483931947069943,37.4,317.2990548204158,0.057160417947141974,41.37760373596571,0.03780718336483932,34.51111111111111,37.911764705882355,43.46153846153846,1.386607142857143,1.4227373068432672,1.4947089947089949,33.52777777777778,31.896551724137932,8.28604118993135,8.06686046511628,145.66666666666666,142.34482758620692,41.37760373596571,KKR,224.5290543,224.5290543,251.8548469,251.8548469,bat,normal,SRH,0,1,0,1,2,0.4615384615384616,0.14285714285714285
62,62,122,2009,Port Elizabeth,Port Elizabeth,CSK,1,RCB,0,7.874583795782463,29.936708860759488,235.73912249399402,8.19792236194642,30.108433734939762,246.8266021988446,0.04384017758046615,0.04537998906506288,39.26315789473684,40.80645161290322,43.57142857142857,1.4182509505703422,1.407119021134594,1.4319248826291082,27.671875,27.68888888888889,7.959550561797752,7.506024096385543,125.15625,132.8,30.75894913783333,30.75894913783333,6.97196261682243,17.59433962264151,122.66707811673426,8.191204588910134,38.25,313.3135755258126,0.0660436137071651,39.59192231814285,0.03569152326322498,27.872340425531913,32.27272727272727,36.07692307692308,1.248808388941849,1.2754491017964071,1.3027777777777778,40.20588235294117,44.59090909090909,8.056974459724952,8.542815674891148,179.6470588235294,187.9090909090909,39.59192231814285,CSK,260.9975198,260.9975198,281.7181509,281.7181509,bat,normal,CSK,92,1,1,1,2,0.5294117647058824,0.3333333333333333
63,63,123,2009,Durban,Durban,KXIP,1,KKR,0,8.337292161520189,29.620253164556967,246.9527045311044,8.356890459363957,28.49397590361446,238.12103537826218,0.04691211401425178,0.04888103651354535,32.457142857142856,36.125,124.0,1.5351351351351352,1.5763636363636364,1.4761904761904765,25.95454545454545,26.93333333333333,8.04225352112676,7.9824368825466525,116.1818181818182,121.46666666666668,41.37760373596571,41.37760373596571,7.199200532978015,20.46590909090909,147.33818363515232,7.7671875,27.16393442622951,210.98737192622954,0.058627581612258485,41.34540885476191,0.04765625,28.0,32.74193548387097,43.375,1.3037037037037038,1.3063063063063065,1.6445497630331751,38.16666666666666,40.4,7.905638665132336,7.634645669291339,173.8,190.5,41.34540885476191,KKR,233.5653872,233.5653872,224.5290543,224.5290543,field,normal,KKR,11,0,0,0,2,0.625,0.42857142857142855
64,64,124,2009,Cape Town,Cape Town,SRH,1,RCB,0,7.80700676090965,22.76344086021505,177.71433669726588,8.483931947069943,37.4,317.2990548204158,0.057160417947141974,0.03780718336483932,34.51111111111111,37.911764705882355,43.46153846153846,1.386607142857143,1.4227373068432672,1.4947089947089949,33.52777777777778,31.896551724137932,8.28604118993135,8.06686046511628,145.66666666666666,142.34482758620692,30.75894913783333,30.75894913783333,6.97196261682243,17.59433962264151,122.66707811673426,8.191204588910134,38.25,313.3135755258126,0.0660436137071651,31.380784571625,0.03569152326322498,27.872340425531913,32.27272727272727,36.07692307692308,1.248808388941849,1.2754491017964071,1.3027777777777778,40.20588235294117,44.59090909090909,8.056974459724952,8.542815674891148,179.6470588235294,187.9090909090909,31.380784571625,SRH,251.8548469,251.8548469,281.7181509,281.7181509,bat,normal,SRH,24,1,1,1,2,0.2,0.3125
65,65,125,2009,Durban,Durban,DD,1,CSK,0,7.989347536617844,25.97402597402597,207.5155204316323,8.1525,26.51219512195122,216.1406707317073,0.051264980026631164,0.05125,30.17021276595745,32.7027027027027,37.6,1.494204425711275,1.5414012738853504,1.5692821368948249,25.277777777777782,22.48837209302325,8.173652694610777,7.991735537190082,111.33333333333331,101.30232558139537,39.59192231814285,39.59192231814285,7.874583795782463,29.936708860759488,235.73912249399402,8.19792236194642,30.108433734939762,246.8266021988446,0.04384017758046615,30.716094071,0.04537998906506288,39.26315789473684,40.80645161290322,43.57142857142857,1.4182509505703422,1.407119021134594,1.4319248826291082,27.671875,27.68888888888889,7.959550561797752,7.506024096385543,125.15625,132.8,30.716094071,DD,305.1106061000001,305.1106061000001,260.9975198,260.9975198,bat,normal,DD,9,1,1,1,2,0.5333333333333333,0.5555555555555556
