,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
56,56,116,2008,Mumbai,MI,KXIP,1,CSK,0,KXIP,,,,,bat,normal,CSK,0,1,0,1,2,0.17543859649122806,0.15789473684210525
57,57,117,2008,Mumbai,MI,CSK,1,RR,0,RR,,,,,field,normal,RR,0,0,0,0,2,0.15517241379310345,0.22413793103448276
58,58,118,2009,Cape Town,Cape Town,MI,1,CSK,0,CSK,336.7994228,336.7994228,260.9975198,260.9975198,field,normal,MI,19,0,1,0,2,0.13559322033898305,0.15254237288135594
59,59,119,2009,Cape Town,Cape Town,RCB,1,RR,0,RCB,281.7181509,281.7181509,251.3936012,251.3936012,bat,normal,RCB,75,1,1,1,2,0.08333333333333333,0.21666666666666667
60,60,120,2009,Cape Town,Cape Town,KXIP,1,DD,0,DD,233.5653872,233.5653872,305.1106061000001,305.1106061000001,field,normal,DD,0,0,0,0,2,0.16393442622950818,0.13114754098360656
61,61,121,2009,Cape Town,Cape Town,KKR,1,SRH,0,KKR,224.5290543,224.5290543,251.8548469,251.8548469,bat,normal,SRH,0,1,0,1,2,0.0967741935483871,0.04838709677419355
62,62,122,2009,Port Elizabeth,Port Elizabeth,CSK,1,RCB,0,CSK,260.9975198,260.9975198,281.7181509,281.7181509,bat,normal,CSK,92,1,1,1,2,0.15873015873015872,0.07936507936507936
63,63,123,2009,Durban,Durban,KXIP,1,KKR,0,KKR,233.5653872,233.5653872,224.5290543,224.5290543,field,normal,KKR,11,0,0,0,2,0.15625,0.109375
64,64,124,2009,Cape Town,Cape Town,SRH,1,RCB,0,SRH,251.8548469,251.8548469,281.7181509,281.7181509,bat,normal,SRH,24,1,1,1,2,0.06153846153846154,0.07692307692307693
65,65,125,2009,Durban,Durban,DD,1,CSK,0,DD,305.1106061000001,305.1106061000001,260.9975198,260.9975198,bat,normal,DD,9,1,1,1,2,0.13636363636363635,0.15151515151515152
