Team,Year,Runs per Over,Runs per Wicket,Batting Index,Runs conceded per Over,Runs conceded per Wicket,Bowling Index,Batting Wicket Rate,Bowling Wicket Rate,Runs per Wicket_6 Batsmen,Runs per Wicket_4 Batsmen,Runs per Wicket_2 Batsmen,Runs per ball_6 Batsmen,Runs per ball_4 Batsmen,Runs per ball_2 Batsmen,Runs concede per Wicket_5 Bowler,Runs concede per Wicket_3 Bowler,Runs concede per Over_5 Bowler,Runs concede per Over_3 Bowler,Balls bowled per Wicket_5 Bowler,Balls bowled per Wicket_3 Bowler,Team Strength,Cumulative Team Strength
DD,2013,7.794392523364486,26.617021276595743,207.46351163253132,7.824324324324325,31.788235294117648,248.72146263910972,0.04880581516095535,0.041023166023166024,28.962962962962962,31.419354838709676,34.13636363636363,1.3755496921723835,1.583739837398374,1.6220302375809936,30.21875,26.365384615384617,7.798387096774194,7.451086956521739,139.5,127.38461538461539,33.403195974999996,32.33956997373958
DD,2014,6.718849840255592,19.118181818181817,128.45219285506826,7.809782608695652,36.28787878787879,283.4004446640316,0.058572949946751864,0.035869565217391305,21.92982456140351,23.829787234042552,26.48,1.1373976342129208,1.1654526534859522,1.2373831775700934,32.166666666666664,29.35483870967742,7.097037793667007,6.791044776119403,163.16666666666666,155.61290322580646,30.07526794993452,30.05413392465476
DD,2015,7.2454212454212445,23.0,166.6446886446886,8.44311377245509,41.470588235294116,350.1408946812258,0.052503052503052504,0.033932135728542916,30.795454545454547,37.48275862068966,41.36842105263158,1.324535679374389,1.355361596009975,1.3481989708404802,42.125,49.5,8.425,8.275541795665635,180.0,215.33333333333334,34.13512763144841,33.868432877736396
DD,2016,7.6569659442724465,27.11842105263158,207.64482646244096,7.776737967914438,26.930555555555557,209.431873885918,0.047058823529411764,0.0481283422459893,30.666666666666668,37.535714285714285,39.6,1.3398058252427185,1.3474358974358975,1.6097560975609757,26.0,25.45945945945946,8.014171833480956,7.627530364372469,116.79310344827586,120.16216216216216,36.36475302666667,33.3416045792262
DD,2017,7.5,25.90909090909091,194.3181818181818,7.911877394636015,32.77777777777778,259.33375904640275,0.04824561403508772,0.040229885057471264,28.857142857142858,30.85185185185185,30.88888888888889,1.3188248095756256,1.3976510067114094,1.8911564625850341,31.58139534883721,27.47222222222222,7.789674952198853,7.464150943396226,145.95348837209303,132.5,34.595565277738096,34.67874651520635
DD,2018,7.9564405724953335,21.969072164948454,174.79561711327378,8.47149263292761,32.411764705882355,274.5760259260655,0.060360920970752956,0.04356181934657271,33.339622641509436,30.032258064516128,34.25,1.4712739383846793,1.6362038664323375,1.6181102362204725,31.162790697674417,34.0,8.571428571428571,8.568659127625201,130.88372093023256,142.84615384615384,39.35115153785715,33.510624941369045
DD,2019,8.720930232558139,30.0,261.62790697674416,8.922299431459255,31.386666666666667,280.0412381554011,0.04844961240310078,0.047378395451674035,40.479166666666664,45.964285714285715,53.142857142857146,1.510886469673406,1.5772058823529411,1.7423887587822013,30.813953488372093,28.727272727272727,8.520900321543408,8.279475982532752,130.1860465116279,124.9090909090909,32.961081771124995,30.343922346771777
GL,2016,,,,,,,,,25.29032258064516,26.973684210526315,28.928571428571427,1.3176470588235294,1.373994638069705,1.3846153846153846,30.11864406779661,26.266666666666666,8.53642914331465,8.554885404101327,127.01694915254237,110.53333333333333,31.2931190996875,30.72744699949256
GL,2017,7.616648411829136,22.725490196078432,173.09206880999938,8.332613390928726,34.29333333333334,285.7530885529158,0.05585980284775466,0.04049676025917927,27.757575757575758,28.823529411764707,34.142857142857146,1.3313953488372092,1.3436928702010968,1.3788461538461538,36.43589743589744,30.742857142857144,8.05099150141643,7.71326164874552,162.92307692307693,143.4857142857143,36.54023158345238,35.6188106297123
KKR,2008,,,,,,,,,,,,,,,,,,,,,33.341084153202296,33.341084153202296
