,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
43,43,103,2008,Kolkata,KKR,KKR,1,CSK,0,303.1287046,303.1287046,336.62857139999994,336.62857139999994,KKR,bat,normal,CSK,3,1,0,1,1,0.5,0.6
44,44,104,2008,Bangalore,RCB,RCB,1,DD,0,227.43385419999998,227.43385419999998,296.6,296.6,DD,field,normal,DD,0,0,0,0,1,0.18181818181818185,0.4545454545454545
45,45,105,2008,Kolkata,KKR,KKR,1,RR,0,303.1287046,303.1287046,331.64615380000004,331.64615380000004,RR,field,normal,RR,0,0,0,0,1,0.4545454545454545,0.7272727272727273
46,46,106,2008,Mumbai,MI,KXIP,1,MI,0,282.9642857,282.9642857,331.65170939999996,331.65170939999996,MI,field,normal,KXIP,1,0,1,0,0,0.7272727272727273,0.6363636363636364
47,47,107,2008,Chennai,CSK,RCB,1,CSK,0,227.43385419999998,227.43385419999998,336.62857139999994,336.62857139999994,RCB,bat,normal,RCB,14,1,1,1,0,0.16666666666666666,0.6363636363636364
48,48,108,2008,Chandigarh,KXIP,SRH,1,KXIP,0,234.5125,234.5125,282.9642857,282.9642857,KXIP,field,normal,KXIP,0,0,0,0,0,0.18181818181818185,0.75
49,49,109,2008,Delhi,DD,MI,1,DD,0,331.65170939999996,331.65170939999996,296.6,296.6,DD,field,normal,DD,0,0,0,0,0,0.5833333333333334,0.5
50,50,110,2008,Chennai,CSK,RR,1,CSK,0,331.64615380000004,331.64615380000004,336.62857139999994,336.62857139999994,RR,bat,normal,RR,10,1,1,1,0,0.75,0.5833333333333334
51,51,111,2008,Bangalore,RCB,RCB,1,SRH,0,227.43385419999998,227.43385419999998,234.5125,234.5125,SRH,field,normal,RCB,3,0,1,0,1,0.2307692307692308,0.16666666666666666
52,52,112,2008,Kolkata,KKR,KXIP,1,KKR,0,282.9642857,282.9642857,303.1287046,303.1287046,KXIP,bat,normal,KKR,0,1,0,1,0,0.7692307692307693,0.4166666666666667
53,53,113,2008,Jaipur,RR,MI,1,RR,0,331.65170939999996,331.65170939999996,331.64615380000004,331.64615380000004,RR,field,normal,RR,0,0,0,0,0,0.5384615384615384,0.7692307692307693
54,54,114,2008,Hyderabad,SRH,SRH,1,CSK,0,234.5125,234.5125,336.62857139999994,336.62857139999994,SRH,bat,normal,CSK,0,1,0,1,1,0.15384615384615385,0.5384615384615384
55,55,115,2008,Mumbai,MI,RR,1,DD,0,331.64615380000004,331.64615380000004,296.6,296.6,DD,field,normal,RR,105,0,1,0,2,0.7857142857142857,0.5384615384615384
56,56,116,2008,Mumbai,MI,KXIP,1,CSK,0,282.9642857,282.9642857,336.62857139999994,336.62857139999994,KXIP,bat,normal,CSK,0,1,0,1,2,0.7142857142857143,0.5714285714285714
57,57,117,2008,Mumbai,MI,CSK,1,RR,0,336.62857139999994,336.62857139999994,331.64615380000004,331.64615380000004,RR,field,normal,RR,0,0,0,0,2,0.6,0.8
58,58,118,2009,Cape Town,Cape Town,MI,1,CSK,0,299.04375,300.35625,299.735119,288.84375,CSK,field,normal,MI,19,0,1,0,2,0.5,0.5625
59,59,119,2009,Cape Town,Cape Town,RCB,1,RR,0,262.3125,238.3125,266.3524531,324.6706349,RCB,bat,normal,RCB,75,1,1,1,2,0.2857142857142857,0.8125
60,60,120,2009,Cape Town,Cape Town,KXIP,1,DD,0,282.3730159,325.61904760000004,345.6142857,313.43571430000003,DD,field,normal,DD,0,0,0,0,2,0.6666666666666666,0.5
61,61,121,2009,Cape Town,Cape Town,KKR,1,SRH,0,223.2428571,222.2071429,323.05,283.8,KKR,bat,normal,SRH,0,1,0,1,2,0.4615384615384616,0.14285714285714285
62,62,122,2009,Port Elizabeth,Port Elizabeth,CSK,1,RCB,0,299.735119,288.84375,262.3125,238.3125,CSK,bat,normal,CSK,92,1,1,1,2,0.5294117647058824,0.3333333333333333
63,63,123,2009,Durban,Durban,KXIP,1,KKR,0,282.3730159,325.61904760000004,223.2428571,222.2071429,KKR,field,normal,KKR,11,0,0,0,2,0.625,0.42857142857142855
64,64,124,2009,Cape Town,Cape Town,SRH,1,RCB,0,323.05,283.8,262.3125,238.3125,SRH,bat,normal,SRH,24,1,1,1,2,0.2,0.3125
65,65,125,2009,Durban,Durban,DD,1,CSK,0,345.6142857,313.43571430000003,299.735119,288.84375,DD,bat,normal,DD,9,1,1,1,2,0.5333333333333333,0.5555555555555556
