,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL
164,224,2010,Chennai,CSK,CSK,1,DD,0,CSK,bat,normal,DD,0,1,0,1,1
165,225,2010,Dharamsala,Dharamsala,KXIP,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
166,226,2010,Bangalore,RCB,MI,1,RCB,0,RCB,field,normal,MI,57,0,1,0,0
167,227,2010,Kolkata,KKR,RR,1,KKR,0,RR,bat,normal,KKR,0,1,0,1,0
168,228,2010,Dharamsala,Dharamsala,KXIP,1,CSK,0,CSK,field,normal,CSK,0,0,0,0,2
169,229,2010,Delhi,DD,SRH,1,DD,0,SRH,bat,normal,SRH,11,1,1,1,0
170,230,2010,Kolkata,KKR,MI,1,KKR,0,MI,bat,normal,KKR,0,1,0,1,0
171,231,2010,Mumbai,MI,MI,1,RCB,0,MI,bat,normal,MI,35,1,1,1,1
172,232,2010,Mumbai,MI,CSK,1,SRH,0,CSK,bat,normal,CSK,38,1,1,1,2
173,233,2010,Mumbai,MI,SRH,1,RCB,0,SRH,bat,normal,RCB,0,1,0,1,2
174,234,2010,Mumbai,MI,CSK,1,MI,0,CSK,bat,normal,CSK,22,1,1,1,0
175,235,2011,Chennai,CSK,CSK,1,KKR,0,CSK,bat,normal,CSK,2,1,1,1,1
176,236,2011,Hyderabad,SRH,SRH,1,RR,0,RR,field,normal,RR,0,0,0,0,1
177,237,2011,Kochi,Kochi,KTK,1,RCB,0,KTK,bat,normal,RCB,0,1,0,1,2
178,238,2011,Delhi,DD,DD,1,MI,0,DD,bat,normal,MI,0,1,0,1,1
179,239,2011,Mumbai,MI,KXIP,1,RPS,0,KXIP,bat,normal,RPS,0,1,0,1,2
180,240,2011,Kolkata,KKR,KKR,1,SRH,0,KKR,bat,normal,KKR,9,1,1,1,1
181,241,2011,Jaipur,RR,DD,1,RR,0,DD,bat,normal,RR,0,1,0,1,0
182,242,2011,Bangalore,RCB,RCB,1,MI,0,MI,field,normal,MI,0,0,0,0,1
183,243,2011,Chandigarh,KXIP,CSK,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,0
184,244,2011,Mumbai,MI,KTK,1,RPS,0,KTK,bat,normal,RPS,0,1,0,1,2
185,245,2011,Hyderabad,SRH,SRH,1,RCB,0,RCB,field,normal,SRH,33,0,1,0,1
186,246,2011,Jaipur,RR,RR,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,1
187,247,2011,Mumbai,MI,MI,1,KTK,0,KTK,field,normal,KTK,0,0,0,0,1
188,248,2011,Chennai,CSK,CSK,1,RCB,0,CSK,bat,normal,CSK,21,1,1,1,1
189,249,2011,Hyderabad,SRH,SRH,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,1
190,250,2011,Mumbai,MI,RPS,1,DD,0,DD,field,normal,DD,0,0,0,0,2
191,251,2011,Kolkata,KKR,RR,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,0
192,252,2011,Kochi,Kochi,CSK,1,KTK,0,KTK,field,normal,KTK,0,0,0,0,2
193,253,2011,Delhi,DD,SRH,1,DD,0,SRH,bat,normal,SRH,16,1,1,1,0
194,254,2011,Mumbai,MI,RPS,1,MI,0,RPS,bat,normal,MI,0,1,0,1,0
195,255,2011,Kolkata,KKR,KTK,1,KKR,0,KKR,field,normal,KTK,6,0,1,0,0
196,256,2011,Chandigarh,KXIP,KXIP,1,RR,0,RR,field,normal,KXIP,48,0,1,0,1
197,257,2011,Mumbai,MI,MI,1,CSK,0,CSK,field,normal,MI,8,0,1,0,1
198,258,2011,Kolkata,KKR,KKR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,1
199,259,2011,Delhi,DD,DD,1,KXIP,0,KXIP,field,normal,DD,29,0,1,0,1
200,260,2011,Hyderabad,SRH,MI,1,SRH,0,SRH,field,normal,MI,37,0,1,0,0
201,261,2011,Jaipur,RR,KTK,1,RR,0,RR,field,normal,RR,0,0,0,0,0
202,262,2011,Chennai,CSK,CSK,1,RPS,0,RPS,field,normal,CSK,25,0,1,0,1
203,263,2011,Delhi,DD,DD,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,1
204,264,2011,Mumbai,MI,RPS,1,CSK,0,RPS,bat,normal,CSK,0,1,0,1,2
205,265,2011,Kochi,Kochi,SRH,1,KTK,0,KTK,field,normal,SRH,55,0,1,0,2
206,266,2011,Delhi,DD,KKR,1,DD,0,DD,field,normal,KKR,17,0,1,0,0
207,267,2011,Jaipur,RR,MI,1,RR,0,RR,field,normal,RR,0,0,0,0,0
208,268,2011,Bangalore,RCB,RCB,1,RPS,0,RPS,field,normal,RCB,26,0,1,0,1
209,269,2011,Kochi,Kochi,DD,1,KTK,0,DD,bat,normal,DD,38,1,1,1,2
210,270,2011,Kolkata,KKR,KXIP,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,0
211,271,2011,Jaipur,RR,RPS,1,RR,0,RR,field,normal,RR,0,0,0,0,0
212,272,2011,Chennai,CSK,CSK,1,SRH,0,CSK,bat,normal,CSK,19,1,1,1,1
213,273,2011,Mumbai,MI,MI,1,KXIP,0,KXIP,field,normal,MI,23,0,1,0,1
214,274,2011,Delhi,DD,DD,1,KTK,0,KTK,field,normal,KTK,0,0,0,0,1
215,275,2011,Hyderabad,SRH,KKR,1,SRH,0,SRH,field,normal,KKR,20,0,1,0,0
216,276,2011,Chennai,CSK,RR,1,CSK,0,RR,bat,normal,CSK,0,1,0,1,0
217,277,2011,Mumbai,MI,MI,1,RPS,0,RPS,field,normal,MI,21,0,1,0,1
218,278,2011,Kochi,Kochi,KTK,1,KKR,0,KKR,field,normal,KTK,17,0,1,0,2
219,279,2011,Hyderabad,SRH,SRH,1,DD,0,DD,field,normal,DD,0,0,0,0,1
220,280,2011,Bangalore,RCB,RCB,1,KXIP,0,KXIP,field,normal,RCB,85,0,1,0,1
221,281,2011,Kolkata,KKR,CSK,1,KKR,0,CSK,bat,normal,KKR,10,1,0,1,0
222,282,2011,Mumbai,MI,MI,1,DD,0,DD,field,normal,MI,32,0,1,0,1
223,283,2011,Bangalore,RCB,KTK,1,RCB,0,KTK,bat,normal,RCB,0,1,0,1,0
224,284,2011,Chandigarh,KXIP,KXIP,1,RPS,0,KXIP,bat,normal,RPS,0,1,0,1,1
225,285,2011,Jaipur,RR,CSK,1,RR,0,RR,field,normal,CSK,63,0,1,0,0
226,286,2011,Hyderabad,SRH,SRH,1,RPS,0,SRH,bat,normal,RPS,0,1,0,1,1
227,287,2011,Chandigarh,KXIP,KXIP,1,MI,0,MI,field,normal,KXIP,76,0,1,0,1
228,288,2011,Jaipur,RR,RR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,1
229,289,2011,Chennai,CSK,CSK,1,DD,0,CSK,bat,normal,CSK,18,1,1,1,1
230,290,2011,Indore,Indore,KTK,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,2
231,291,2011,Bangalore,RCB,KKR,1,RCB,0,RCB,field,normal,RCB,0,0,0,0,0
232,292,2011,Mumbai,MI,SRH,1,MI,0,SRH,bat,normal,SRH,10,1,1,1,0
233,293,2011,Dharamsala,Dharamsala,KXIP,1,DD,0,DD,field,normal,KXIP,29,0,1,0,2
234,294,2011,Indore,Indore,RR,1,KTK,0,KTK,field,normal,KTK,0,0,0,0,2
235,295,2011,Mumbai,MI,RPS,1,SRH,0,SRH,field,normal,SRH,0,0,0,0,2
236,296,2011,Dharamsala,Dharamsala,KXIP,1,RCB,0,KXIP,bat,normal,KXIP,111,1,1,1,2
237,297,2011,Chennai,CSK,CSK,1,KTK,0,CSK,bat,normal,CSK,11,1,1,1,1
238,298,2011,Mumbai,MI,RPS,1,KKR,0,KKR,field,normal,KKR,0,0,0,0,2
239,299,2011,Mumbai,MI,MI,1,RR,0,MI,bat,normal,RR,0,1,0,1,1
240,300,2011,Dharamsala,Dharamsala,SRH,1,KXIP,0,KXIP,field,normal,SRH,82,0,1,0,2
241,303,2011,Kolkata,KKR,KKR,1,MI,0,MI,field,normal,MI,0,0,0,0,1
242,304,2011,Mumbai,MI,RCB,1,CSK,0,CSK,field,normal,CSK,0,0,0,0,2
243,305,2011,Mumbai,MI,KKR,1,MI,0,MI,field,normal,MI,0,0,0,0,0
244,306,2011,Chennai,CSK,RCB,1,MI,0,MI,field,normal,RCB,43,0,1,0,2
245,307,2011,Chennai,CSK,CSK,1,RCB,0,CSK,bat,normal,CSK,58,1,1,1,1
246,308,2012,Chennai,CSK,CSK,1,MI,0,MI,field,normal,MI,0,0,0,0,1
247,309,2012,Kolkata,KKR,KKR,1,DD,0,DD,field,normal,DD,0,0,0,0,1
248,310,2012,Mumbai,MI,RPS,1,MI,0,MI,field,normal,RPS,28,0,1,0,0
249,311,2012,Jaipur,RR,RR,1,KXIP,0,KXIP,field,normal,RR,31,0,1,0,1
250,312,2012,Bangalore,RCB,RCB,1,DD,0,DD,field,normal,RCB,20,0,1,0,1
251,313,2012,Visakhapatnam,Visakhapatnam,CSK,1,SRH,0,SRH,field,normal,CSK,74,0,1,0,2
252,314,2012,Jaipur,RR,RR,1,KKR,0,KKR,field,normal,RR,22,0,1,0,1
253,315,2012,Pune,RPS,RPS,1,KXIP,0,RPS,bat,normal,RPS,22,1,1,1,1
254,316,2012,Visakhapatnam,Visakhapatnam,SRH,1,MI,0,SRH,bat,normal,MI,0,1,0,1,2
255,317,2012,Bangalore,RCB,KKR,1,RCB,0,RCB,field,normal,KKR,42,0,1,0,0
256,318,2012,Delhi,DD,CSK,1,DD,0,DD,field,normal,DD,0,0,0,0,0
257,319,2012,Mumbai,MI,MI,1,RR,0,RR,field,normal,MI,27,0,1,0,1
258,320,2012,Chennai,CSK,RCB,1,CSK,0,RCB,bat,normal,CSK,0,1,0,1,0
259,321,2012,Chandigarh,KXIP,RPS,1,KXIP,0,KXIP,field,normal,KXIP,0,0,0,0,0
260,322,2012,Kolkata,KKR,RR,1,KKR,0,RR,bat,normal,KKR,0,1,0,1,0
