Player,Batting Inns,Batting SR,100's,50's,Batting Average,Bowling Inns,Overs,Wickets,Bowling Average,Bowling SR
Gurkeerat Singh,0,0,0,0,0,0,0,0,0,0
SO Hetmyer,0,0,0,0,0,0,0,0,0,0
H Klaasen,0,0,0,0,0,0,0,0,0,0
V Kohli,0,0,0,0,0,0,0,0,0,0
PA Patel,0,0,0,0,0,0,0,0,0,0
STR Binny,0,0,0,0,0,5,7,1,44,42
JC Archer,0,0,0,0,0,11,43,11,26.45,23.4
S Gopal,0,0,0,0,0,14,48,20,17.35,14.4
O Thomas,0,0,0,0,0,4,10,5,15.8,12
K Gowtham,0,0,0,0,0,7,20,1,166,120
R Parag,0,0,0,0,0,7,14,2,60.5,42
IS Sodhi,0,0,0,0,0,2,7.1,4,16.75,10.7
DS Kulkarni,0,0,0,0,0,10,35,6,55.83,35
VR Aaron,0,0,0,0,0,5,12,4,29,18
JD Unadkat,0,0,0,0,0,11,37.2,10,39.8,22.4
BA Stokes,0,0,0,0,0,6,16.5,6,31.5,16.8
LS Livingstone,0,0,0,0,0,1,1,0,0,0
S Midhun,0,0,0,0,0,1,2,0,0,0
JC Buttler,0,0,0,0,0,0,0,0,0,0
P Chopra,0,0,0,0,0,0,0,0,0,0
MK Lomror,0,0,0,0,0,0,0,0,0,0
AM Rahane,0,0,0,0,0,0,0,0,0,0
SV Samson,0,0,0,0,0,0,0,0,0,0
SPD Smith,0,0,0,0,0,0,0,0,0,0
RA Tripathi,0,0,0,0,0,0,0,0,0,0
AJ Turner,0,0,0,0,0,0,0,0,0,0
Rashid Khan,0,0,0,0,0,15,60,17,22.17,21.1
Mohammad Nabi,0,0,0,0,0,8,29.1,8,24.25,21.8
B Kumar,0,0,0,0,0,15,59,13,35.46,27.2
YK Pathan,0,0,0,0,0,1,1,0,0,0
KK Ahmed,0,0,0,0,0,9,34.5,19,15.1,11
Sandeep Sharma,0,0,0,0,0,11,42.4,12,29.33,21.3
V Shankar,0,0,0,0,0,5,8,1,70,48
Shakib Al Hasan,0,0,0,0,0,3,10.5,2,47.5,32.5
S Kaul,0,0,0,0,0,7,27,6,40.33,27
