Player,Batting Inns,Batting SR,100's,50's,Batting Average,Bowling Inns,Overs,Wickets,Bowling Average,Bowling SR,Points
S Midhun,0,0,0,0,0,1,2,0,0,0,6.5
S Nadeem,0,0,0,0,0,3,9,2,45,27,17
S Sandeep Warrier,0,0,0,0,0,3,12,2,42.5,36,39.5
SA Yadav,15,130.86,0,2,32.61,0,0,0,0,0,170
SC Kuggeleijn,0,0,0,0,0,2,8,2,35.5,24,24
SD Lad,1,115.38,0,0,15,0,0,0,0,0,6
SE Rutherford,7,135.18,0,0,14.6,6,6.5,1,59,41,53.5
SK Raina,17,121.97,0,3,23.93,1,1,0,0,0,162.5
SL Malinga,0,0,0,0,0,12,44.5,16,27.37,16.8,149.5
SM Curran,8,172.72,0,1,23.75,9,33,10,32.3,19.8,143
SN Khan,5,125.87,0,1,45,1,0.2,0,0,0,61.5
SN Thakur,3,200,0,0,7,9,30,8,35.12,22.5,111.5
SO Hetmyer,5,123.28,0,1,18,0,0,0,0,0,42
SP Narine,9,166.27,0,0,17.87,12,44.2,10,34.7,26.6,205
SPD Smith,10,116,0,3,39.87,0,0,0,0,0,96.5
SR Watson,17,127.56,0,3,23.41,0,0,0,0,0,190
SS Iyer,16,119.94,0,3,30.86,0,0,0,0,0,171.5
STR Binny,5,175,0,0,23.33,5,7,1,44,42,43
SV Samson,12,148.69,1,0,34.2,0,0,0,0,0,128
SW Billings,1,0,0,0,0,0,0,0,0,0,2.5
Sandeep Sharma,2,200,0,0,0,11,42.4,12,29.33,21.3,129
Shakib Al Hasan,1,90,0,0,9,3,10.5,2,47.5,32.5,29
Shubman Gill,13,124.36,0,3,32.88,0,0,0,0,0,105
TA Boult,3,175,0,0,7,5,19,5,32.6,22.8,70
TG Southee,1,100,0,0,0,3,9,1,118,54,30
UT Yadav,7,100,0,0,12.5,11,37.5,8,46.37,28.3,137
V Kohli,14,141.46,1,2,33.14,0,0,0,0,0,173
V Shankar,14,126.42,0,0,20.33,5,8,1,70,48,112
VR Aaron,1,42.85,0,0,0,5,12,4,29,18,44.5
WP Saha,5,162.26,0,0,17.2,0,0,0,0,0,48.5
Washington Sundar,2,33.33,0,0,0.5,3,9,4,18.5,13.5,40
Y Prithvi Raj,1,0,0,0,0,2,5,1,57,30,11.5
YK Pathan,8,88.88,0,0,13.33,1,1,0,0,0,9.5
YS Chahal,3,37.5,0,0,3,14,49.2,18,21.44,16.4,187.5
Yuvraj Singh,4,130.66,0,1,24.5,0,0,0,0,0,38.5
